timestamp,num_process,num_fds,num_conn,num_ssh,num_active_users,cpu_usage,cpu_load,ram,tx_bytes,rx_bytes,failed_logins
60056,160,24740,2,0,1,0.3,5.5,33.4,4363,11580,0
60079,160,24740,2,0,1,0.0,6.0,33.4,575,2821,0
60102,160,24740,2,0,1,0.0,5.5,33.4,929,2507,0
60126,160,24740,1,0,1,0.0,5.5,33.5,548,2626,0
60149,160,24740,1,0,1,0.0,5.5,33.5,518,2464,0
60173,173,29181,1,0,1,0.0,5.0,36.9,962,2800,0
60196,175,29187,1,0,1,0.0,5.0,37.0,428,2470,0
60219,175,29187,1,0,1,0.0,5.0,37.0,638,2782,0
60243,174,29184,1,0,1,0.0,5.0,37.0,752,2608,0
60266,174,29184,1,0,1,0.0,4.5,36.8,578,2326,0
60289,174,29184,1,0,1,0.0,4.5,36.9,812,2218,0
60313,174,29184,1,0,1,0.3,4.5,36.9,578,2860,0
60336,174,29184,1,0,1,0.3,4.5,36.9,428,2374,0
60361,174,29184,1,0,1,0.0,4.5,36.9,962,2896,0
60384,169,25544,1,0,1,0.0,4.5,34.0,518,2584,0
60407,162,24746,1,0,1,0.0,4.5,33.3,812,2236,0
60430,162,24746,1,0,1,0.3,4.5,33.3,578,2428,0
60453,162,24746,1,0,1,0.3,4.5,33.3,488,2548,0
60477,162,24746,1,0,1,0.0,4.0,33.3,902,2548,0
60500,162,24746,1,0,1,0.0,4.0,33.3,488,2608,0
60524,161,24820,1,0,1,0.0,4.0,33.3,518,2602,0
60547,161,24743,1,0,1,0.0,4.5,33.3,872,2554,0
60570,161,24743,1,0,1,0.0,4.5,33.3,578,2602,0
60594,161,24743,1,0,1,0.0,4.5,33.4,962,2548,0
60618,161,24743,1,0,1,0.0,4.5,33.4,488,2590,0
60641,161,24743,1,0,1,0.0,4.5,33.3,638,2662,0
60664,161,24743,1,0,1,0.0,5.0,33.3,812,2488,0
60687,161,24743,1,0,1,0.0,4.5,33.3,638,2892,0
60711,160,24740,1,0,1,0.0,4.5,33.3,812,2434,0
60734,158,24734,1,0,1,0.0,4.5,33.3,578,2404,0
60757,158,24734,1,0,1,0.8,4.5,33.3,638,2878,0
60781,158,24734,1,0,1,0.0,4.5,33.3,812,2356,0
60804,158,24734,1,0,1,0.0,4.0,33.3,638,2584,0
60827,158,24734,1,0,1,0.3,4.0,33.3,488,2686,0
60851,158,24734,1,0,1,0.0,4.5,33.3,872,2614,0
60874,158,24734,1,0,1,0.0,4.5,33.3,428,2296,0
60898,158,24734,1,0,1,0.0,4.5,33.3,962,2506,0
60921,158,24734,1,0,1,0.0,4.5,33.3,428,2644,0
60944,159,24737,1,0,1,0.3,4.5,33.3,638,2644,0
